Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,La Liga,193,Johannes Geis,de GER,"DF,MF",Sevilla,23,1993,14,7,680,0,1,0,0,0,0
2017-2018,La Liga,194,Carles Gil,es ESP,"FW,MF",La Coruña,24,1992,10,6,476,0,2,0,0,0,0
2017-2018,La Liga,195,Nacho Gil,es ESP,"FW,MF",Las Palmas,21,1995,14,8,731,0,1,0,0,1,0
2017-2018,La Liga,196,Nacho Gil,es ESP,"MF,FW",Valencia,21,1995,6,2,230,0,0,0,0,0,0
2017-2018,La Liga,197,Dani Giménez,es ESP,GK,Betis,34,1983,4,4,308,0,0,0,0,0,0
2017-2018,La Liga,198,Diego Godín,uy URU,DF,Atlético Madrid,31,1986,30,28,"2,554",0,0,0,0,6,0
2017-2018,La Liga,199,André Gomes,pt POR,"MF,FW",Barcelona,24,1993,16,6,640,0,0,0,0,1,0
2017-2018,La Liga,200,Ibai Gómez,es ESP,"MF,FW",Alavés,27,1989,34,26,"2,315",7,6,1,1,1,0
2017-2018,La Liga,201,Maxi Gómez,uy URU,FW,Celta Vigo,20,1996,36,35,"3,056",17,4,0,0,12,0
2017-2018,La Liga,202,Sergi Gómez,es ESP,DF,Celta Vigo,25,1992,33,31,"2,680",1,0,0,0,3,0
2017-2018,La Liga,203,Vicente Gómez,es ESP,MF,Las Palmas,28,1988,25,17,"1,523",0,1,0,0,3,0
2017-2018,La Liga,204,Adrián González,es ESP,MF,Málaga,29,1988,29,27,"2,340",3,0,1,1,9,1
2017-2018,La Liga,205,Álvaro González,es ESP,DF,Villarreal,27,1990,33,32,"2,899",0,2,0,0,14,2
2017-2018,La Liga,206,Bruno González,es ESP,DF,Getafe,27,1990,20,17,"1,543",0,2,0,0,5,0
2017-2018,La Liga,207,Diego González,es ESP,DF,Málaga,22,1995,18,17,"1,427",1,0,0,0,5,0
2017-2018,La Liga,208,Fabio González,es ESP,MF,Las Palmas,20,1997,1,1,63,0,0,0,0,1,0
2017-2018,La Liga,209,Mario González,es ESP,FW,Villarreal,21,1996,2,0,20,0,0,0,0,0,0
2017-2018,La Liga,210,Andoni Gorosabel,es ESP,DF,Real Sociedad,20,1996,2,1,76,0,0,0,0,0,0
2017-2018,La Liga,211,Julio Gracia,es ESP,"FW,MF",Betis,19,1998,2,0,24,0,0,0,0,0,0
2017-2018,La Liga,212,Álex Granell,es ESP,MF,Girona,28,1988,34,33,"2,841",1,5,0,1,11,0
2017-2018,La Liga,213,Esteban Granero,es ESP,"MF,FW",Espanyol,30,1987,25,11,"1,237",1,3,0,0,5,0
2017-2018,La Liga,214,Antoine Griezmann,fr FRA,FW,Atlético Madrid,26,1991,32,30,"2,509",19,9,2,2,7,1
2017-2018,La Liga,215,Vicente Guaita,es ESP,GK,Getafe,30,1987,33,33,"2,970",0,0,0,0,1,0
2017-2018,La Liga,216,Andrés Guardado,mx MEX,MF,Betis,30,1986,29,25,"2,270",2,8,1,1,7,0
2017-2018,La Liga,217,Gonçalo Guedes,pt POR,"MF,FW",Valencia,20,1996,33,27,"2,435",5,7,0,0,2,0
2017-2018,La Liga,218,Ramiro Guerra,uy URU,MF,Villarreal,20,1997,4,0,74,0,0,0,0,1,0
2017-2018,La Liga,219,Francis Guerrero,es ESP,"DF,MF",Betis,21,1996,14,10,992,1,0,0,0,2,0
2017-2018,La Liga,220,John Guidetti,se SWE,FW,Alavés,25,1992,17,15,"1,210",3,2,0,0,3,0
2017-2018,La Liga,221,John Guidetti,se SWE,FW,Celta Vigo,25,1992,8,0,119,0,0,0,0,0,0
2017-2018,La Liga,222,Guilherme,br BRA,MF,La Coruña,26,1991,31,31,"2,637",0,0,0,0,11,0
2017-2018,La Liga,223,Gerard Gumbau,es ESP,MF,Leganés,22,1994,25,16,"1,441",1,0,0,0,8,0
2017-2018,La Liga,224,Jon Guridi,es ESP,"MF,FW",Real Sociedad,22,1995,4,0,55,0,0,0,0,0,0
2017-2018,La Liga,225,Alejandro Gutiérrez Mozo,es ESP,MF,Leganés,22,1995,1,0,45,0,0,0,0,0,0
2017-2018,La Liga,226,Hacen,mr MTN,MF,Levante,19,1997,2,1,80,0,0,0,0,0,0
2017-2018,La Liga,227,Munir El Haddadi,es ESP,FW,Alavés,21,1995,33,28,"2,436",10,6,0,0,8,2
2017-2018,La Liga,228,Achraf Hakimi,ma MAR,DF,Real Madrid,18,1998,9,8,758,2,1,0,0,0,0
2017-2018,La Liga,229,Alen Halilović,hr CRO,"FW,MF",Las Palmas,21,1996,20,16,"1,305",2,1,0,0,1,1
2017-2018,La Liga,230,Mario Hermoso,es ESP,DF,Espanyol,22,1995,22,22,"1,928",1,0,0,0,6,2
2017-2018,La Liga,231,Hernán,es ESP,MF,Las Palmas,26,1990,7,4,351,0,0,0,0,1,0
2017-2018,La Liga,232,Héctor Hernández,es ESP,MF,Alavés,26,1991,1,0,16,0,0,0,0,0,0
2017-2018,La Liga,233,Lucas Hernández,fr FRA,DF,Atlético Madrid,21,1996,27,24,"2,122",0,1,0,0,7,2
2017-2018,La Liga,234,Luis Hernández,es ESP,DF,Málaga,28,1989,36,36,"3,240",0,2,0,0,8,0
2017-2018,La Liga,235,Pablo Hernández,cl CHI,MF,Celta Vigo,30,1986,30,18,"1,826",3,2,0,0,5,0
2017-2018,La Liga,236,Theo Hernández,fr FRA,DF,Real Madrid,19,1997,13,10,962,0,1,0,0,1,0
2017-2018,La Liga,237,Borja Herrera,es ESP,DF,Las Palmas,24,1993,3,3,240,0,0,0,0,0,0
2017-2018,La Liga,238,Iago Herrerín,es ESP,GK,Athletic Club,29,1988,8,8,720,0,0,0,0,0,0
2017-2018,La Liga,239,Andrew Hjulsager,dk DEN,"DF,MF",Celta Vigo,22,1995,2,0,15,0,0,0,0,0,0
2017-2018,La Liga,240,Brown Ideye,ng NGA,FW,Málaga,28,1988,13,8,736,1,0,0,0,2,0
2017-2018,La Liga,241,Asier Illarramendi,es ESP,MF,Real Sociedad,27,1990,36,35,"3,163",7,5,0,0,9,2
2017-2018,La Liga,242,Andrés Iniesta,es ESP,"MF,FW",Barcelona,33,1984,30,25,"1,862",1,2,0,0,1,0
2017-2018,La Liga,243,Takashi Inui,jp JPN,"MF,FW",Eibar,29,1988,34,31,"2,622",5,3,0,0,4,0
2017-2018,La Liga,244,Gorka Iraizoz,es ESP,GK,Girona,36,1981,9,8,765,0,0,0,0,1,0
2017-2018,La Liga,245,Carlos Isaac,es ESP,DF,Atlético Madrid,19,1998,1,1,62,0,0,0,0,1,0
2017-2018,La Liga,246,Isco,es ESP,"MF,FW",Real Madrid,25,1992,30,21,"1,766",7,5,0,0,1,0
2017-2018,La Liga,247,Manuel Iturra,cl CHI,MF,Málaga,33,1984,20,18,"1,583",0,1,0,0,6,0
2017-2018,La Liga,248,Ander Iturraspe,es ESP,MF,Athletic Club,28,1989,30,20,"1,904",0,0,0,0,7,0
2017-2018,La Liga,249,Ivi,es ESP,"MF,FW",Levante,23,1994,29,17,"1,762",4,3,1,1,3,0
2017-2018,La Liga,250,Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,22,1995,28,18,"1,566",3,5,0,0,4,0
2017-2018,La Liga,251,Jason,es ESP,"MF,FW",Levante,23,1994,27,22,"1,784",1,2,0,0,2,0
2017-2018,La Liga,252,Álvaro Jiménez,es ESP,"MF,FW",Getafe,22,1995,13,5,536,1,1,0,0,4,2
2017-2018,La Liga,253,Joaquín,es ESP,"FW,MF",Betis,36,1981,35,29,"2,476",4,7,0,0,7,0
2017-2018,La Liga,254,Jony,es ESP,"MF,FW",Málaga,26,1991,5,1,220,0,0,0,0,1,0
