Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2018-2019,Bundesliga,211,Lukas Jäger,at AUT,MF,Nürnberg,24,1994,2,0,27,0,0,0,0,0,0
2018-2019,Bundesliga,212,Christoph Janker,de GER,"MF,FW",Augsburg,33,1985,4,1,72,0,0,0,0,0,0
2018-2019,Bundesliga,213,Tony Jantschke,de GER,DF,M'Gladbach,28,1990,14,10,933,0,1,0,0,0,0
2018-2019,Bundesliga,214,Rune Jarstein,no NOR,GK,Hertha BSC,33,1984,31,31,"2,745",0,0,0,0,2,0
2018-2019,Bundesliga,215,Dennis Jastrzembski,de GER,"DF,MF",Hertha BSC,18,2000,5,0,61,0,0,0,0,1,0
2018-2019,Bundesliga,216,Tin Jedvaj,hr CRO,DF,Leverkusen,22,1995,16,13,"1,121",0,0,0,0,3,0
2018-2019,Bundesliga,217,Fredrik Jensen,fi FIN,"FW,MF",Augsburg,20,1997,6,2,207,0,0,0,0,0,0
2018-2019,Bundesliga,218,Joelinton,br BRA,"FW,MF",Hoffenheim,21,1996,28,25,"2,130",7,5,0,0,5,0
2018-2019,Bundesliga,219,Aron Jóhannsson,us USA,MF,Werder Bremen,27,1990,1,0,4,0,0,0,0,0,0
2018-2019,Bundesliga,220,Fabian Johnson,us USA,"DF,FW",M'Gladbach,30,1987,18,11,"1,012",1,0,0,0,1,0
2018-2019,Bundesliga,221,Jonathas,br BRA,FW,Hannover 96,29,1989,10,6,607,3,1,1,1,3,1
2018-2019,Bundesliga,222,Luka Jović,rs SRB,"FW,MF",Eint Frankfurt,20,1997,32,25,"2,243",17,5,1,1,1,0
2018-2019,Bundesliga,223,Sebastian Jung,de GER,DF,Wolfsburg,28,1990,1,1,56,0,0,0,0,0,0
2018-2019,Bundesliga,224,Ozan Kabak,tr TUR,DF,Stuttgart,18,2000,15,15,"1,350",3,0,0,0,4,0
2018-2019,Bundesliga,225,Pavel Kadeřábek,cz CZE,"DF,MF",Hoffenheim,26,1992,29,28,"2,509",3,4,0,0,7,0
2018-2019,Bundesliga,226,Shinji Kagawa,jp JPN,MF,Dortmund,29,1989,2,1,98,0,0,0,0,0,0
2018-2019,Bundesliga,227,Florian Kainz,at AUT,FW,Werder Bremen,25,1992,8,5,373,0,1,0,0,2,0
2018-2019,Bundesliga,228,Salomon Kalou,ci CIV,"FW,MF",Hertha BSC,32,1985,30,27,"2,317",8,2,3,3,0,0
2018-2019,Bundesliga,229,Marcin Kamiński,pl POL,DF,Düsseldorf,26,1992,27,27,"2,430",0,1,0,0,1,0
2018-2019,Bundesliga,230,Patrick Kammerbauer,de GER,FW,Freiburg,21,1997,1,0,2,0,0,0,0,0,0
2018-2019,Bundesliga,231,Kevin Kampl,si SVN,MF,RB Leipzig,27,1990,27,25,"2,113",2,5,0,0,5,0
2018-2019,Bundesliga,232,Stefanos Kapino,gr GRE,GK,Werder Bremen,24,1994,1,0,45,0,0,0,0,0,0
2018-2019,Bundesliga,233,Kenan Karaman,tr TUR,"FW,MF",Düsseldorf,24,1994,21,9,919,3,1,0,0,0,0
2018-2019,Bundesliga,234,Marc-Oliver Kempf,de GER,DF,Stuttgart,23,1995,23,23,"2,025",2,0,0,0,3,0
2018-2019,Bundesliga,235,Sebastian Kerk,de GER,"MF,FW",Nürnberg,24,1994,21,17,"1,179",0,1,0,0,0,0
2018-2019,Bundesliga,236,Rani Khedira,de GER,"DF,MF",Augsburg,24,1994,30,30,"2,624",4,1,0,0,6,0
2018-2019,Bundesliga,237,Isaac Kiese Thelin,se SWE,FW,Leverkusen,26,1992,6,1,180,0,0,0,0,1,0
2018-2019,Bundesliga,238,Joshua Kimmich,de GER,"DF,MF",Bayern Munich,23,1995,34,34,"3,060",2,13,0,0,4,0
2018-2019,Bundesliga,239,Davy Klaassen,nl NED,MF,Werder Bremen,25,1993,33,33,"2,816",5,4,0,0,5,0
2018-2019,Bundesliga,240,Felix Klaus,de GER,"FW,MF",Wolfsburg,25,1992,15,5,443,1,1,0,0,0,0
2018-2019,Bundesliga,241,Tim Kleindienst,de GER,FW,Freiburg,22,1995,4,2,200,0,0,0,0,0,0
2018-2019,Bundesliga,242,Lukas Klostermann,de GER,DF,RB Leipzig,22,1996,26,22,"2,003",5,1,0,0,1,0
2018-2019,Bundesliga,243,Lukas Klünter,de GER,DF,Hertha BSC,22,1996,10,7,592,0,0,0,0,2,1
2018-2019,Bundesliga,244,Robin Knoche,de GER,DF,Wolfsburg,26,1992,31,31,"2,790",3,0,0,0,0,0
2018-2019,Bundesliga,245,Törles Knöll,de GER,FW,Nürnberg,20,1997,16,2,370,1,0,0,0,0,0
2018-2019,Bundesliga,246,Gregor Kobel,ch SUI,GK,Hoffenheim,20,1997,1,1,90,0,0,0,0,0,0
2018-2019,Bundesliga,247,Gregor Kobel,ch SUI,GK,Augsburg,20,1997,16,16,"1,389",0,0,0,0,0,0
2018-2019,Bundesliga,248,Robin Koch,de GER,"MF,DF",Freiburg,22,1996,24,21,"1,901",1,0,0,0,3,0
2018-2019,Bundesliga,249,Dominik Kohr,de GER,MF,Leverkusen,24,1994,18,10,973,0,2,0,0,4,0
2018-2019,Bundesliga,250,Ibrahima Konaté,fr FRA,DF,RB Leipzig,19,1999,28,27,"2,431",1,1,0,0,7,0
2018-2019,Bundesliga,251,Yevhen Konoplyanka,ua UKR,FW,Schalke 04,28,1989,13,7,656,1,1,0,0,0,1
2018-2019,Bundesliga,252,Pascal Köpke,de GER,"FW,MF",Hertha BSC,22,1995,7,0,74,0,0,0,0,0,0
2018-2019,Bundesliga,253,Julian Korb,de GER,DF,Hannover 96,26,1992,12,11,"1,006",0,0,0,0,0,0
2018-2019,Bundesliga,254,Filip Kostić,rs SRB,"DF,MF",Eint Frankfurt,25,1992,34,33,"2,956",6,10,0,0,4,0
2018-2019,Bundesliga,255,Dawid Kownacki,pl POL,"MF,FW",Düsseldorf,21,1997,10,7,575,4,0,0,0,2,0
2018-2019,Bundesliga,256,Thomas Kraft,de GER,GK,Hertha BSC,30,1988,4,3,315,0,0,0,0,0,0
2018-2019,Bundesliga,257,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,27,1991,30,28,"2,396",17,4,5,6,2,0
2018-2019,Bundesliga,258,Christoph Kramer,de GER,MF,M'Gladbach,27,1991,18,13,"1,136",2,1,0,0,6,0
2018-2019,Bundesliga,259,Max Kruse,de GER,"FW,MF",Werder Bremen,30,1988,32,32,"2,832",11,9,3,3,0,0
