Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,EPL,52,Muhamed Bešić,ba BIH,MF,Everton,24,1992,2,0,46,0,0,0,0,0,0
2017-2018,EPL,53,Philip Billing,dk DEN,MF,Huddersfield,21,1996,16,8,764,0,0,0,0,3,0
2017-2018,EPL,54,Mame Biram Diouf,sn SEN,"FW,MF",Stoke City,29,1987,35,30,"2,596",6,2,0,0,6,0
2017-2018,EPL,55,Daley Blind,nl NED,"DF,MF",Manchester Utd,27,1990,7,4,362,0,0,0,0,0,0
2017-2018,EPL,56,Jeremie Boga,ci CIV,MF,Chelsea,20,1997,1,1,17,0,0,0,0,0,0
2017-2018,EPL,57,Yannick Bolasie,cd COD,"FW,MF",Everton,28,1989,16,11,851,1,0,0,0,0,0
2017-2018,EPL,58,Gaëtan Bong,cm CMR,DF,Brighton,29,1988,25,25,"2,236",0,0,0,0,2,0
2017-2018,EPL,59,Wilfried Bony,ci CIV,FW,Swansea City,28,1988,15,8,707,2,0,0,0,2,0
2017-2018,EPL,60,Sofiane Boufal,ma MAR,"FW,MF",Southampton,23,1993,26,11,"1,219",2,2,0,0,1,0
2017-2018,EPL,61,Robbie Brady,ie IRL,"MF,FW",Burnley,25,1992,15,15,"1,277",1,2,0,0,3,0
2017-2018,EPL,62,Claudio Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,0,0,0,0,0,0
2017-2018,EPL,63,Miguel Britos,uy URU,DF,Watford,32,1985,12,10,797,1,0,0,0,3,1
2017-2018,EPL,64,Leon Britton,eng ENG,MF,Swansea City,34,1982,5,4,302,0,0,0,0,1,0
2017-2018,EPL,65,Izzy Brown,eng ENG,"MF,FW",Brighton,20,1997,13,4,311,0,0,0,0,0,0
2017-2018,EPL,66,Bruno,es ESP,DF,Brighton,36,1980,25,23,"2,016",0,0,0,0,3,0
2017-2018,EPL,67,Chris Brunt,nir NIR,"MF,DF",West Brom,32,1984,26,22,"1,920",0,7,0,0,5,0
2017-2018,EPL,68,Oliver Burke,sco SCO,"FW,MF",West Brom,20,1997,15,2,367,0,2,0,0,0,0
2017-2018,EPL,69,Jack Butland,eng ENG,GK,Stoke City,24,1993,35,35,"3,150",0,0,0,0,0,0
2017-2018,EPL,70,Sam Byram,eng ENG,DF,West Ham,23,1993,5,2,248,0,0,0,0,1,0
2017-2018,EPL,71,Willy Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,0,0,0,0,0,0
2017-2018,EPL,72,Yohan Cabaye,fr FRA,MF,Crystal Palace,31,1986,31,28,"2,376",0,1,0,0,7,0
2017-2018,EPL,73,Gary Cahill,eng ENG,DF,Chelsea,31,1985,27,24,"2,086",0,0,0,0,1,1
2017-2018,EPL,74,Dominic Calvert-Lewin,eng ENG,"FW,MF",Everton,20,1997,32,18,"1,882",4,6,0,0,4,0
2017-2018,EPL,75,Geoff Cameron,us USA,"DF,MF",Stoke City,32,1985,20,17,"1,525",0,0,0,0,2,0
2017-2018,EPL,76,Tyrese Campbell,eng ENG,"FW,MF",Stoke City,17,1999,4,0,79,0,0,0,0,0,0
2017-2018,EPL,77,Emre Can,de GER,MF,Liverpool,23,1994,26,24,"2,091",3,4,0,0,8,0
2017-2018,EPL,78,Étienne Capoue,fr FRA,MF,Watford,29,1988,23,18,"1,542",1,0,0,0,3,0
2017-2018,EPL,79,Michael Carrick,eng ENG,MF,Manchester Utd,36,1981,2,1,109,0,0,0,0,0,0
2017-2018,EPL,80,André Carrillo,pe PER,"FW,MF",Watford,26,1991,28,16,"1,540",1,2,0,0,2,0
2017-2018,EPL,81,Guido Carrillo,ar ARG,FW,Southampton,26,1991,7,5,450,0,1,0,0,0,0
2017-2018,EPL,82,Andy Carroll,eng ENG,"FW,MF",West Ham,28,1989,16,7,751,3,0,0,0,6,2
2017-2018,EPL,83,Tom Carroll,eng ENG,MF,Swansea City,25,1992,37,28,"2,570",0,4,0,0,3,0
2017-2018,EPL,84,Craig Cathcart,nir NIR,DF,Watford,28,1989,7,5,523,0,0,0,0,1,0
2017-2018,EPL,85,Petr Čech,cz CZE,GK,Arsenal,35,1982,34,34,"3,039",0,0,0,0,1,0
2017-2018,EPL,86,Nacer Chadli,be BEL,"FW,MF",West Brom,27,1989,5,2,260,1,0,0,0,1,0
2017-2018,EPL,87,Nathaniel Chalobah,eng ENG,MF,Watford,22,1994,6,5,447,0,0,0,0,1,0
2017-2018,EPL,88,Calum Chambers,eng ENG,DF,Arsenal,22,1995,12,10,866,0,0,0,0,1,0
2017-2018,EPL,89,Ben Chilwell,eng ENG,DF,Leicester City,20,1996,24,20,"1,853",0,2,0,0,2,2
2017-2018,EPL,90,Hamza Choudhury,eng ENG,MF,Leicester City,19,1997,8,4,378,0,1,0,0,1,0
2017-2018,EPL,91,Andreas Christensen,dk DEN,DF,Chelsea,21,1996,27,23,"2,086",0,0,0,0,0,0
2017-2018,EPL,92,Lee Chung-yong,kr KOR,FW,Crystal Palace,29,1988,7,1,135,0,0,0,0,0,0
2017-2018,EPL,93,Ciaran Clark,ie IRL,DF,Newcastle Utd,27,1989,20,19,"1,746",2,1,0,0,3,0
2017-2018,EPL,94,Tom Cleverley,eng ENG,MF,Watford,27,1989,23,22,"1,902",1,2,0,1,2,2
2017-2018,EPL,95,Sam Clucas,eng ENG,"MF,FW",Swansea City,26,1990,29,23,"2,044",3,1,0,0,2,0
