Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,Bundesliga,234,Sebastian Jung,de GER,DF,Wolfsburg,27,1990,2,1,78,0,0,0,0,1,0
2017-2018,Bundesliga,235,Zlatko Junuzović,at AUT,"MF,FW",Werder Bremen,29,1987,24,17,"1,633",2,4,0,0,2,0
2017-2018,Bundesliga,236,Gojko Kačar,rs SRB,DF,Augsburg,30,1987,6,3,228,1,0,0,0,1,0
2017-2018,Bundesliga,237,Pavel Kadeřábek,cz CZE,"DF,MF",Hoffenheim,25,1992,28,24,"2,199",2,3,0,0,5,0
2017-2018,Bundesliga,238,Shinji Kagawa,jp JPN,MF,Dortmund,28,1989,19,12,"1,166",5,2,0,0,0,0
2017-2018,Bundesliga,239,Florian Kainz,at AUT,"MF,FW",Werder Bremen,24,1992,30,19,"1,712",3,3,0,0,5,0
2017-2018,Bundesliga,240,Dominik Kaiser,de GER,"MF,DF",RB Leipzig,28,1988,10,3,277,0,0,0,0,0,0
2017-2018,Bundesliga,241,Salomon Kalou,ci CIV,"FW,MF",Hertha BSC,31,1985,31,27,"2,207",12,3,1,2,0,0
2017-2018,Bundesliga,242,Daichi Kamada,jp JPN,"FW,MF",Eint Frankfurt,20,1996,3,2,144,0,0,0,0,0,0
2017-2018,Bundesliga,243,Marcin Kamiński,pl POL,DF,Stuttgart,25,1992,23,12,"1,138",0,0,0,0,0,0
2017-2018,Bundesliga,244,Kevin Kampl,si SVN,MF,Leverkusen,26,1990,1,0,30,0,0,0,0,0,0
2017-2018,Bundesliga,245,Kevin Kampl,si SVN,MF,RB Leipzig,26,1990,26,22,"2,019",1,3,0,0,3,0
2017-2018,Bundesliga,246,Bartosz Kapustka,pl POL,"FW,MF",Freiburg,20,1996,7,3,235,1,0,0,0,0,0
2017-2018,Bundesliga,247,Kenan Karaman,tr TUR,"MF,FW",Hannover 96,23,1994,22,8,855,1,0,0,0,2,0
2017-2018,Bundesliga,248,Florian Kath,de GER,"FW,MF",Freiburg,22,1994,24,3,674,1,0,0,0,3,0
2017-2018,Bundesliga,249,Ole Käuper,de GER,MF,Werder Bremen,20,1997,1,1,73,0,0,0,0,1,0
2017-2018,Bundesliga,250,Thilo Kehrer,de GER,DF,Schalke 04,20,1996,28,27,"2,365",3,0,0,0,4,0
2017-2018,Bundesliga,251,Naby Keïta,gn GUI,MF,RB Leipzig,22,1995,27,23,"1,962",6,5,0,0,8,2
2017-2018,Bundesliga,252,Marc-Oliver Kempf,de GER,DF,Freiburg,22,1995,12,11,901,0,1,0,0,1,0
2017-2018,Bundesliga,253,Ryan Kent,eng ENG,"FW,MF",Freiburg,20,1996,6,1,245,0,0,0,0,1,0
2017-2018,Bundesliga,254,Rani Khedira,de GER,"MF,DF",Augsburg,23,1994,30,27,"2,275",1,1,0,0,8,0
2017-2018,Bundesliga,255,Stefan Kießling,de GER,"FW,DF",Leverkusen,33,1984,8,0,82,0,0,0,0,0,0
2017-2018,Bundesliga,256,Joshua Kimmich,de GER,DF,Bayern Munich,22,1995,29,26,"2,329",1,10,0,0,1,0
2017-2018,Bundesliga,257,Felix Klaus,de GER,"MF,FW",Hannover 96,24,1992,28,25,"1,981",4,2,0,0,5,0
2017-2018,Bundesliga,258,Tim Kleindienst,de GER,FW,Freiburg,21,1995,22,12,"1,138",2,3,0,0,2,0
2017-2018,Bundesliga,259,Lukas Klostermann,de GER,DF,RB Leipzig,21,1996,26,25,"2,190",1,0,0,0,2,0
2017-2018,Bundesliga,260,Lukas Klünter,de GER,"DF,FW",Köln,21,1996,19,14,"1,336",1,0,0,0,6,0
2017-2018,Bundesliga,261,Robin Knoche,de GER,DF,Wolfsburg,25,1992,24,24,"2,102",1,2,0,0,2,0
2017-2018,Bundesliga,262,Törles Knöll,de GER,MF,Hamburger SV,19,1997,1,0,18,0,0,0,0,0,0
2017-2018,Bundesliga,263,Robin Koch,de GER,"MF,DF",Freiburg,21,1996,26,21,"1,919",2,1,0,0,3,0
2017-2018,Bundesliga,264,Kenan Kodro,ba BIH,FW,Mainz 05,23,1993,8,2,232,0,0,0,0,0,0
2017-2018,Bundesliga,265,Dominik Kohr,de GER,MF,Leverkusen,23,1994,28,18,"1,664",1,1,0,0,9,1
2017-2018,Bundesliga,266,Ibrahima Konaté,fr FRA,DF,RB Leipzig,18,1999,16,14,"1,228",0,0,0,0,1,0
2017-2018,Bundesliga,267,Yevhen Konoplyanka,ua UKR,"FW,MF",Schalke 04,27,1989,27,18,"1,562",4,4,0,0,1,0
2017-2018,Bundesliga,268,Julian Korb,de GER,DF,Hannover 96,25,1992,28,28,"2,336",1,1,0,0,8,0
